#{"t_start": 1760343927.40677, "env_id": "None"}
r,l,t
11093.108835,112,1151.313626
11492.443991,115,1153.160978
10392.336165,114,1155.023934
10963.642535,112,1156.873122
11464.625316,117,1159.198895
11294.398651,119,1161.464403
10406.862666,115,1163.56532
10895.768628,115,1165.513178
10850.014878,116,1167.411261
12091.748469,121,1169.364271
12024.890056,115,1171.297508
9415.2147,113,1173.256866
11122.65686,114,1175.101386
10980.009001,114,1176.99785
10795.177472,113,1178.898936
11758.723126,114,1180.828223
10735.487431,112,1182.791885
11521.39221,118,1184.691025
11334.125617,117,1186.580539
12014.871486,115,1188.417392
10929.660096,115,1190.663013
11180.06053,115,1193.063219
10711.881612,117,1194.980632
11302.077786,116,1196.892159
11440.692804,114,1198.786503
10728.472825,112,1200.639981
10810.149573,115,1202.546497
10347.191323,112,1204.338576
10488.881264,115,1206.298404
11460.801788,113,1208.266889
11239.145683,113,1210.049887
10195.117108,115,1211.872044
11732.014912,113,1213.755859
11087.416994,117,1215.701979
11127.921067,116,1217.596903
10868.648353,113,1219.503243
9825.859216,114,1221.591602
11581.351606,115,1224.087148
11360.307825,114,1225.938964
10671.09524,114,1227.845217
10957.392184,115,1229.729213
11671.065509,114,1231.741776
11294.630422,115,1233.61708
9487.794565,116,1235.532454
10418.274277,116,1237.41118
9948.069697,118,1239.320342
10995.496811,116,1241.294309
10575.377837,116,1243.200443
10897.31565,116,1245.106122
11523.70603,109,1246.877327
10701.202771,114,1248.791499
11333.71302,115,1250.856321
9691.798063,114,1252.933618
10738.716674,114,1255.263753
10992.249255,116,1257.409653
11035.92157,113,1259.244789
11113.714951,113,1261.191958
10062.90906,114,1263.014019
11424.906923,114,1264.878952
11761.976325,117,1266.792904
11056.197173,113,1268.639781
11010.876813,114,1270.484394
11458.297978,113,1272.339868
10816.630063,115,1274.254408
11683.193688,120,1276.209857
11251.416685,116,1278.094917
11201.942252,114,1280.063399
11257.363579,120,1282.411282
11225.853747,113,1284.573253
11338.125085,115,1286.808171
10374.981312,114,1288.709714
10283.43072,113,1290.539605
10948.749242,117,1292.456881
11086.026174,117,1294.300237
11618.121036,116,1296.158772
11816.998906,114,1297.998865
10534.979952,116,1299.902963
11034.047536,116,1301.839144
11148.908338,112,1303.636302
11672.138757,118,1305.706168
11500.200381,118,1307.614684
10880.049162,114,1309.469677
11148.851346,114,1311.328481
11128.21018,114,1313.491042
11354.158684,103,1315.508434
11307.253322,118,1317.682461
11215.767977,116,1319.578362
3016.230044,59,1320.612695
11549.465671,116,1322.479924
11686.820049,117,1324.367635
11104.962142,115,1326.401008
10613.962343,112,1328.367198
11445.809882,118,1330.259735
10775.915207,118,1332.139747
11512.831624,116,1334.055977
11168.258403,113,1335.867983
3246.958117,58,1336.944631
11676.479791,120,1338.873452
11826.439971,114,1340.687958
11230.36272,118,1342.724397
11660.201488,116,1344.86815
10437.138963,117,1347.258928
11869.78182,116,1349.224403
11533.124824,116,1351.138948
11191.958151,114,1353.135072
11176.692439,119,1355.020629
10936.184938,116,1356.881699
12022.238736,117,1358.823444
11986.273548,117,1360.746343
11586.108458,117,1362.700352
11572.628832,114,1364.584315
11783.503901,114,1366.38924
11465.491116,115,1368.311369
11144.047896,117,1370.205863
11688.310871,114,1372.073701
12009.209757,114,1374.241413
11011.105681,113,1376.524611
11274.674267,113,1378.755864
11446.374687,117,1380.668132
11171.220086,117,1382.541543
11484.768921,117,1384.523244
11743.860553,115,1386.473359
10974.600522,114,1388.320377
11738.15771,117,1390.172422
11480.788767,117,1392.039503
12194.737732,115,1393.963745
11688.9692,118,1395.851113
11705.032348,114,1397.656919
10740.141496,116,1399.531647
12203.403272,117,1401.599656
12185.201148,114,1403.425338
11953.207485,115,1405.505893
11629.359285,116,1407.696573
12231.287141,116,1410.047632
11610.001124,120,1412.001298
11746.909075,118,1413.960221
11797.774987,115,1415.850318
11681.34874,114,1417.714958
11857.011605,117,1419.613279
11975.456458,117,1421.526309
11669.535213,116,1423.421787
11752.286237,117,1425.447736
11108.461342,114,1427.328152
12250.514021,114,1429.220942
11905.072296,115,1431.026026
11149.367305,115,1432.891052
11982.559003,114,1434.901976
11843.45317,113,1437.030466
1754.841791,39,1437.90583
11652.466274,114,1440.154142
10967.290996,118,1442.080572
11901.739563,117,1444.061524
11818.656893,116,1445.916856
11702.977092,113,1447.734763
11797.131785,114,1449.731248
12011.661179,112,1451.555199
11491.681391,113,1453.42176
11440.643122,114,1455.293097
10656.982196,114,1457.142782
12218.008746,118,1459.047104
12242.697359,117,1460.993319
11611.463717,116,1462.895835
11141.034959,115,1464.741694
11134.292838,116,1466.880471
11668.090903,116,1469.002601
11394.234683,116,1471.332903
11645.422844,115,1473.132974
11184.88402,114,1475.028837
12136.706975,115,1476.936589
11002.920309,116,1478.885974
11652.131861,115,1480.776043
11846.911266,115,1482.691357
11425.451243,116,1484.530779
11066.188092,117,1486.470908
11390.675942,114,1488.306462
11657.902764,115,1490.135562
11147.761773,113,1492.003067
11956.458753,118,1493.973254
11907.240302,114,1495.990486
11421.819292,116,1498.209339
